service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
4_UW_6,1,0,0,0,0,0,0,20170504,20170710
4_T0+a5,1,1,1,1,0,0,0,20170504,20170710
4_T0+ly,0,0,0,1,1,0,0,20170504,20170710
4_T0+pz,1,1,1,0,0,0,0,20170504,20170710
4_T0+ap,0,1,0,0,0,0,0,20170504,20170710
4_T0+ar,0,0,0,1,0,0,0,20170504,20170710
4_UW_7,1,0,0,0,0,0,0,20170504,20170710
4_T0_9,1,1,1,1,1,0,0,20170504,20170710
4_T2_8,0,0,0,0,0,1,0,20170504,20170710
4_UJ_8,0,0,0,0,0,0,1,20170504,20170710
4_T0+a6_2,0,0,0,0,1,0,0,20170504,20170710
4_UW_8,1,0,0,0,0,0,0,20170504,20170710
4_T0_10,1,1,1,1,1,0,0,20170504,20170710
4_T2_9,0,0,0,0,0,1,0,20170504,20170710
4_UJ_9,0,0,0,0,0,0,1,20170504,20170710
4_T0+ly_1,0,0,0,1,1,0,0,20170504,20170710
4_T0_11,1,1,1,1,1,0,0,20170504,20170710
4_UW_9,1,0,0,0,0,0,0,20170504,20170710
4_T2_10,0,0,0,0,0,1,0,20170504,20170710
4_UJ_10,0,0,0,0,0,0,1,20170504,20170710
4_UO,1,0,0,0,0,0,0,20170522,20170522
4_T0_12,1,1,1,1,1,0,0,20170504,20170616
4_T0_13,1,1,1,1,1,0,0,20170504,20170604
4_UW_10,1,0,0,0,0,0,0,20170605,20170623
4_T0_14,1,1,1,1,1,0,0,20170605,20170623
4_T0_15,1,1,1,1,1,0,0,20170504,20170623
4_UW_11,1,0,0,0,0,0,0,20170504,20170616
4_T0_16,1,1,1,1,1,0,0,20170504,20170616
4_T0_17,1,1,1,1,1,0,0,20170617,20170709
4_T0_18,1,0,0,0,0,0,0,20170710,20170710
4_T0_19,1,1,1,1,1,0,0,20170504,20170526
4_UW_12,1,0,0,0,0,0,0,20170527,20170710
4_T0_20,1,1,1,1,1,0,0,20170527,20170710
5_UJ,0,0,0,0,0,0,1,20170504,20170710
5_T0+ls,0,1,0,0,1,0,0,20170504,20170710
5_T0,1,1,1,1,1,0,0,20170504,20170710
5_T2,0,0,0,0,0,1,0,20170504,20170710
5_T0_1,0,0,0,1,1,0,0,20170504,20170506
5_T2_1,0,0,0,0,0,1,0,20170504,20170506
5_T0_2,1,1,1,1,1,0,0,20170507,20170710
5_T2_2,0,0,0,0,0,1,0,20170507,20170710
5_UJ_1,0,0,0,0,0,0,1,20170507,20170710
5_T0_3,1,1,1,1,1,0,0,20170504,20170710
5_T0_4,1,1,1,1,1,0,0,20170504,20170512
5_T2_3,0,0,0,0,0,1,0,20170513,20170514
5_UJ_2,0,0,0,0,0,0,1,20170513,20170514
5_T0_5,1,1,1,1,1,0,0,20170515,20170710
5_T0+a6,0,0,0,0,1,0,0,20170504,20170710
5_T0+lq,0,1,0,1,0,0,0,20170504,20170710
5_T0+pr,1,0,1,0,1,0,0,20170504,20170710
5_T0+pt,1,0,1,1,0,0,0,20170504,20170710
5_T0+pp,1,0,0,1,1,0,0,20170504,20170710
5_T0+pl,0,1,1,0,1,0,0,20170504,20170710
5_T0+lk,1,0,0,1,0,0,0,20170504,20170710
5_T0+lw,0,0,1,0,1,0,0,20170504,20170710
5_T0+ao,1,0,0,0,0,0,0,20170504,20170710
5_T0+li,1,0,1,0,0,0,0,20170504,20170710
5_T0+a5,1,1,1,1,0,0,0,20170504,20170710
5_T0+pr_1,1,0,1,0,1,0,0,20170504,20170630
5_T0_6,1,1,1,1,1,0,0,20170504,20170630
5_UJ_3,0,0,0,0,0,0,1,20170504,20170630
5_T0+lq_1,0,1,0,1,0,0,0,20170504,20170630
5_T0+lw_1,0,0,1,0,1,0,0,20170504,20170630
5_T0+pr_2,1,0,1,0,1,0,0,20170701,20170710
5_T0_7,1,1,1,1,1,0,0,20170701,20170710
5_UJ_4,0,0,0,0,0,0,1,20170701,20170710
5_T0+lq_2,0,1,0,1,0,0,0,20170701,20170710
5_T0+lw_2,0,0,1,0,1,0,0,20170701,20170710
5_T0+aq,0,0,1,0,0,0,0,20170504,20170710
5_T0+ap,0,1,0,0,0,0,0,20170504,20170710
5_T0+pb,1,0,1,1,1,0,0,20170504,20170710
5_T0_8,0,0,0,1,0,0,0,20170504,20170504
5_T2_4,0,0,0,0,0,1,0,20170505,20170507
5_T6,0,0,0,0,1,0,0,20170505,20170507
5_UJ_5,0,0,0,0,0,0,1,20170505,20170507
5_T0_9,1,1,1,1,1,0,0,20170508,20170710
5_T2_5,0,0,0,0,0,1,0,20170508,20170710
5_UJ_6,0,0,0,0,0,0,1,20170508,20170710
5_T0+pa,0,1,1,1,1,0,0,20170504,20170710
5_T0+pc,1,1,0,1,1,0,0,20170504,20170710
5_T0+px,1,1,0,1,0,0,0,20170504,20170710
5_T0+ar,0,0,0,1,0,0,0,20170504,20170710
5_T0+lm,1,0,0,0,1,0,0,20170504,20170710
5_UN+ar,0,0,0,1,0,0,0,20170504,20170507
5_UN,0,0,0,1,1,0,0,20170504,20170507
6_T0,1,1,1,1,1,0,0,20170504,20170710
6_T2,0,0,0,0,0,1,0,20170504,20170710
6_T0_1,1,1,1,1,1,0,0,20170504,20170710
6_T0+ap,0,1,0,0,0,0,0,20170504,20170710
6_T0+aq,0,0,1,0,0,0,0,20170504,20170710
6_T0+a6,0,0,0,0,1,0,0,20170504,20170710
6_T0+ar,0,0,0,1,0,0,0,20170504,20170710
6_T0+ly,0,0,0,1,1,0,0,20170504,20170710
6_T2_1,0,0,0,0,0,1,0,20170504,20170710
6_UJ,0,0,0,0,0,0,1,20170504,20170710
6_T0_2,1,1,1,1,1,0,0,20170514,20170710
6_T2_2,0,0,0,0,0,1,0,20170514,20170710
6_UJ_1,0,0,0,0,0,0,1,20170514,20170710
6_T0_3,1,1,1,1,1,0,0,20170504,20170710
6_T0_4,1,1,1,1,1,0,0,20170504,20170513
6_T0_5,1,1,1,1,1,0,0,20170504,20170710
6_T0+ar_1,0,0,0,1,0,0,0,20170504,20170710
6_T0+ar_2,0,0,0,1,0,0,0,20170504,20170513
6_T2_3,0,0,0,0,0,1,0,20170504,20170513
6_UW,1,0,0,0,0,0,0,20170504,20170710
6_T0_6,1,1,1,1,1,0,0,20170504,20170710
6_T2_4,0,0,0,0,0,1,0,20170504,20170710
6_UJ_2,0,0,0,0,0,0,1,20170504,20170710
6_T0+lw,0,0,1,0,1,0,0,20170504,20170710
6_T0+ls,0,1,0,0,1,0,0,20170504,20170710
6_T0+lq,0,1,0,1,0,0,0,20170504,20170710
6_T0+pr,1,0,1,0,1,0,0,20170504,20170710
6_T0+lm,1,0,0,0,1,0,0,20170504,20170710
6_UJ_3,0,0,0,0,0,0,1,20170504,20170710
6_UW_1,1,0,0,0,0,0,0,20170504,20170710
6_T0+aq_1,0,0,1,0,0,0,0,20170504,20170710
6_T0+pc,1,1,0,1,1,0,0,20170504,20170710
6_T0_7,1,1,1,1,1,0,0,20170504,20170710
6_UW_2,1,0,0,0,0,0,0,20170504,20170710
6_T0_8,1,1,1,1,1,0,0,20170504,20170710
6_T0+pp,1,0,0,1,1,0,0,20170504,20170710
6_T0+pr_1,1,0,1,0,1,0,0,20170504,20170609
6_T0+pn,0,1,1,1,0,0,0,20170504,20170710
6_T0+a5,1,1,1,1,0,0,0,20170504,20170710
6_T0+pt,1,0,1,1,0,0,0,20170504,20170710
6_T0_9,1,1,1,1,1,0,0,20170504,20170710
6_UW_3,1,0,0,0,0,0,0,20170504,20170710
6_T2_5,0,0,0,0,0,1,0,20170504,20170710
6_UJ_4,0,0,0,0,0,0,1,20170504,20170710
6_T0+pb,1,0,1,1,1,0,0,20170504,20170710
6_T0+lq_1,0,1,0,1,0,0,0,20170504,20170710
6_T0+a6_1,0,0,0,0,1,0,0,20170504,20170710
6_T0+ph,0,0,1,1,1,0,0,20170504,20170710
6_T0+ao,1,0,0,0,0,0,0,20170504,20170710
6_UW_4,1,0,0,0,0,0,0,20170504,20170710
6_T2_6,0,0,0,0,0,1,0,20170504,20170710
6_T0_10,1,1,1,1,1,0,0,20170504,20170710
6_T0+a6_2,0,0,0,0,1,0,0,20170504,20170710
6_UJ_5,0,0,0,0,0,0,1,20170504,20170710
6_UR,0,0,0,1,0,0,0,20170504,20170710
6_T0+lu,0,0,1,1,0,0,0,20170504,20170710
7_T0,1,1,1,1,1,0,0,20170504,20170710
7_T2,0,0,0,0,0,1,0,20170504,20170710
8_T2,0,0,0,0,0,1,0,20170504,20170710
8_UJ,0,0,0,0,0,0,1,20170504,20170710
8_T2_1,0,0,0,0,0,1,0,20170604,20170710
8_UJ_1,0,0,0,0,0,0,1,20170604,20170710
8_T0+a6,0,0,0,0,1,0,0,20170504,20170710
