Stop_Name,Route_short_name,Direction,Rolling Hour,Average Load 2017,Average Maximum Capacity 2017
12-St Vincents Plaza/Victoria Pde (East Melbourne),109,West Bound, 7:01-8:00,36.6,61.6
12-St Vincents Plaza/Victoria Pde (East Melbourne),109,West Bound, 7:31-8:30,58.5,55
12-St Vincents Plaza/Victoria Pde (East Melbourne),109,West Bound, 8:01-9:00,71.7,55
12-St Vincents Plaza/Victoria Pde (East Melbourne),109,West Bound, 8:31-9:30,58,55
12-St Vincents Plaza/Victoria Pde (East Melbourne),109,West Bound, 9:01-10:00,35.3,55
12-St Vincents Plaza/Victoria Pde (East Melbourne),11,West Bound, 7:01-8:00,70,172.1
12-St Vincents Plaza/Victoria Pde (East Melbourne),11,West Bound, 7:31-8:30,91,173
12-St Vincents Plaza/Victoria Pde (East Melbourne),11,West Bound, 8:01-9:00,97.2,168.3
12-St Vincents Plaza/Victoria Pde (East Melbourne),11,West Bound, 8:31-9:30,83.9,166.9
12-St Vincents Plaza/Victoria Pde (East Melbourne),11,West Bound, 9:01-10:00,66,171.9
12-St Vincents Plaza/Victoria Pde (East Melbourne),30,West Bound, 7:01-8:00,4,55
12-St Vincents Plaza/Victoria Pde (East Melbourne),30,West Bound, 7:31-8:30,3.3,55
12-St Vincents Plaza/Victoria Pde (East Melbourne),30,West Bound, 8:01-9:00,4.2,55
12-St Vincents Plaza/Victoria Pde (East Melbourne),30,West Bound, 8:31-9:30,6,55
12-St Vincents Plaza/Victoria Pde (East Melbourne),30,West Bound, 9:01-10:00,8,55
12-St Vincents Plaza/Victoria Pde (East Melbourne),12,East Bound,16:01-17:00,39.4,55
12-St Vincents Plaza/Victoria Pde (East Melbourne),12,East Bound,16:31-17:30,46.4,55
12-St Vincents Plaza/Victoria Pde (East Melbourne),12,East Bound,17:01-18:00,51.6,55
12-St Vincents Plaza/Victoria Pde (East Melbourne),12,East Bound,17:31-18:30,42.9,55
12-St Vincents Plaza/Victoria Pde (East Melbourne),12,East Bound,18:01-19:00,34.3,55
12-St Vincents Plaza/Victoria Pde (East Melbourne),109,East Bound,16:01-17:00,39.4,55
12-St Vincents Plaza/Victoria Pde (East Melbourne),109,East Bound,16:31-17:30,46.4,55
12-St Vincents Plaza/Victoria Pde (East Melbourne),109,East Bound,17:01-18:00,51.6,55
12-St Vincents Plaza/Victoria Pde (East Melbourne),109,East Bound,17:31-18:30,42.9,55
12-St Vincents Plaza/Victoria Pde (East Melbourne),109,East Bound,18:01-19:00,34.3,55
12-St Vincents Plaza/Victoria Pde (East Melbourne),11,East Bound,16:01-17:00,84.7,180
12-St Vincents Plaza/Victoria Pde (East Melbourne),11,East Bound,16:31-17:30,80.8,176.5
12-St Vincents Plaza/Victoria Pde (East Melbourne),11,East Bound,17:01-18:00,93.3,172.2
12-St Vincents Plaza/Victoria Pde (East Melbourne),11,East Bound,17:31-18:30,123.5,171.8
12-St Vincents Plaza/Victoria Pde (East Melbourne),11,East Bound,18:01-19:00,98.1,173.3
